Number,URL
1. Welcome to the Zoo,
2. Learn Your Shapes,
3. Ranger's Traverse,
4. Aye-Boo-Boo,
5. Aye-Boo-Boo Dyno,
6. The Zookeeper,
7. Buried Alive (Yogi's Demise),
8. S'regnar Traverse,
9. Corner Route,
10. Unnamed Project,
11. The Temple Run,
12. Just the Tip,
13. Squirrel Tips,
14. Unnamed Project,
15. Squirrel Tails,
16. Picnic Right Traverse (L-R),
17. Mahjong Mistress,
18. Minerva,
19. Unnamed Project,
20. From Anutha' Mutha,
21. Hutash's Canopy,
22. The Treehouse Ladder,
23. Picnic Right Traverse (R-L),
24. Timon,
25. Zazu Traverse (L-R),
26. Scar — Ben Stuart,https://youtube.com/shorts/1mu4NPH5-bk
27. Long Scar (Fasciotomy) — Ben Stuart,https://youtube.com/shorts/V1fGcHAyzLc
28. Mufasa,
29. Unnamed Project,
30. Zazu Traverse (R-L),
31. Nala,
32. Kirin (Left Exit) — Ben Stuart,https://youtu.be/ficJFqozEs4
33. Kirin (Right Exit),
34. Sarabi,
35. Pumbaa Traverse,
36. Simba — Amanda Koh,https://www.instagram.com/reel/Ctw0Vt8JA_O
37. Doggy Groovy Hookers,
38. The Truant Show,
39. Animorpho,
40. Acid Raindrops,
41. Concrete Schoolyard Traverse,
42. Philosopher's Ledge,
43. One Hot Minute,
44. Rats in the Graveyard,
45. Wolf Bite — Ryan Hiroto,https://www.instagram.com/reel/DF9kHxSReil
46. The Fox and The Hound,
47. Easy Squeezy,
48. A Little Screwed Up,
49. Lefty Loosey/Righty Tighty,
50. Bears with Benefits,
51. All Screwed Up,
52. Bear Walk Traverse (L-R),
53. RJMFP,
54. Double Double Animal Style,
55. Ursa Minor/Ursa Major — Ben Stuart,https://youtu.be/vrcj7M1vIhQ?t=88
56. New Inhabitants — Ben Stuart,https://youtu.be/vrcj7M1vIhQ?t=140
57. Don't Poke the Bear,
58. Poking the Bear — Ben Stuart,https://youtu.be/vrcj7M1vIhQ?t=10
59. Bear Walk Traverse (R-L),
60. Azure Dragon,
61. Vermilion Bird,
62. White Tiger,
63. Black Tortoise,
64. P-22,
65. Elevator Love Letter,
66. PCD Traverse,
67. Another Fake Crystal Ball M.,
68. Dynonother Day — Ben Stuart,https://youtube.com/shorts/PjgILLOezec
